comparison,metric,fold_k,value_A,value_B,delta
lgbm S+T+C - lgbm S,p@100,27,0.03,0.02,0.009999999999999998
lgbm S+T+C - lgbm S,p@100,28,0.03,0.03,0.0
lgbm S+T+C - lgbm S,p@100,29,0.03,0.04,-0.010000000000000002
lgbm S+T+C - lgbm S,p@100,30,0.0,0.03,-0.03
lgbm S+T+C - lgbm S,p@100,31,0.03,0.03,0.0
lgbm S+T+C - lgbm S,p@100,32,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@100,33,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@100,34,0.02,0.02,0.0
lgbm S+T+C - lgbm S,p@100,35,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@100,36,0.02,0.0,0.02
lgbm S+T+C - lgbm S,p@100,37,0.01,0.0,0.01
lgbm S+T+C - lgbm S,p@100,38,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@100,39,0.01,0.01,0.0
lgbm S+T+C - lgbm S,p@100,40,0.03,0.01,0.019999999999999997
lgbm S+T+C - lgbm S,p@100,41,0.01,0.0,0.01
lgbm S+T+C - lgbm S,p@100,42,0.01,0.01,0.0
lgbm S+T+C - lgbm S,p@100,43,0.0,0.01,-0.01
lgbm S+T+C - lgbm S,p@100,44,0.02,0.01,0.01
lgbm S+T+C - lgbm S,p@100,45,0.04,0.01,0.03
lgbm S+T+C - lgbm S,p@100,46,0.02,0.0,0.02
lgbm S+T+C - lgbm S,p@100,47,0.01,0.01,0.0
lgbm S+T+C - lgbm S,p@100,48,0.03,0.03,0.0
lgbm S+T+C - lgbm S,p@100,49,0.0,0.02,-0.02
lgbm S     - rf S,roc_auc,25,0.8649479947994799,0.8954011651165117,-0.030453170317031764
lgbm S     - rf S,roc_auc,26,0.8618436382728706,0.9177241626455318,-0.05588052437266122
lgbm S     - rf S,roc_auc,27,0.8108696630547295,0.8826719420559451,-0.07180227900121561
lgbm S     - rf S,roc_auc,28,0.7772640062676068,0.8930859628944341,-0.11582195662682726
lgbm S     - rf S,roc_auc,29,0.857563853728451,0.9511720159188144,-0.09360816219036339
lgbm S     - rf S,roc_auc,30,0.9322316847893638,0.9158842904717616,0.016347394317602237
lgbm S     - rf S,roc_auc,31,0.8211174344926688,0.9429595458263772,-0.12184211133370837
lgbm S     - rf S,roc_auc,32,0.7541738543463586,0.7583309582739568,-0.00415710392759816
lgbm S     - rf S,roc_auc,33,0.8353396635865435,0.7877393220728829,0.04760034151366066
lgbm S     - rf S,roc_auc,34,0.9414545072706271,0.9394530335532092,0.0020014737174178787
lgbm S     - rf S,roc_auc,35,0.6378231464860362,0.6866275649070875,-0.04880441842105132
lgbm S     - rf S,roc_auc,36,0.7752904607368589,0.7917749044923594,-0.01648444375550051
lgbm S     - rf S,roc_auc,37,0.9507207680192005,0.9503207580189504,0.0004000100002500284
lgbm S     - rf S,roc_auc,38,0.7696037301865094,0.7860515525776288,-0.016447822391119415
lgbm S     - rf S,roc_auc,39,0.9675233393671494,0.980486563925114,-0.012963224557964614
lgbm S     - rf S,roc_auc,40,0.8851124067708225,0.9557575235174244,-0.0706451167466019
lgbm S     - rf S,roc_auc,41,0.9230511275532925,0.9048687606303352,0.018182366922957383
