comparison,metric,fold_k,value_A,value_B,delta
lgbm S+T+C - lgbm S,roc_auc,45,0.9503484923306759,0.9229676581409931,0.027380834189682735
lgbm S+T+C - lgbm S,roc_auc,46,0.8111915287436879,0.8835337035239996,-0.07234217478031169
lgbm S+T+C - lgbm S,roc_auc,47,0.9768405541998373,0.9391160272566041,0.03772452694323314
lgbm S+T+C - lgbm S,roc_auc,48,0.9537876638926522,0.8564382010386811,0.09734946285397117
lgbm S+T+C - lgbm S,roc_auc,49,0.9217070117506453,0.8630915890931756,0.05861542265746966
lgbm S+T+C - lgbm S,pr_auc,25,0.006367439046769105,0.013982499424878213,-0.007615060378109108
lgbm S+T+C - lgbm S,pr_auc,26,0.0016142890801639112,0.0012918347022948546,0.0003224543778690566
lgbm S+T+C - lgbm S,pr_auc,27,0.014717655684157447,0.005378699806399892,0.009338955877757555
lgbm S+T+C - lgbm S,pr_auc,28,0.02832848022119086,0.008339112195307505,0.019989368025883355
lgbm S+T+C - lgbm S,pr_auc,29,0.012654500936337514,0.04480249128410383,-0.03214799034776632
lgbm S+T+C - lgbm S,pr_auc,30,0.005463880678637494,0.02057427352802983,-0.015110392849392335
lgbm S+T+C - lgbm S,pr_auc,31,0.019546933554998522,0.009689354608963658,0.009857578946034864
lgbm S+T+C - lgbm S,pr_auc,32,0.00012760056059016268,6.072232588933365e-05,6.687823470082904e-05
lgbm S+T+C - lgbm S,pr_auc,33,0.000356051154320164,0.00017930537007939174,0.00017674578424077225
lgbm S+T+C - lgbm S,pr_auc,34,0.043392798042413375,0.013888257719065608,0.029504540323347768
lgbm S+T+C - lgbm S,pr_auc,35,0.0017375750305954232,0.00044759091849208565,0.0012899841121033376
lgbm S+T+C - lgbm S,pr_auc,36,0.015451575973019016,0.001479900512576034,0.013971675460442982
lgbm S+T+C - lgbm S,pr_auc,37,0.007714032176370228,0.0020171344299673745,0.005696897746402854
lgbm S+T+C - lgbm S,pr_auc,38,0.000672743449768385,0.0002629745388576876,0.00040976891091069743
lgbm S+T+C - lgbm S,pr_auc,39,0.014700309880572564,0.007494321644717678,0.007205988235854887
lgbm S+T+C - lgbm S,pr_auc,40,0.01480881182154797,0.00554187425120026,0.00926693757034771
lgbm S+T+C - lgbm S,pr_auc,41,0.007625475630966249,0.0022727231452290457,0.005352752485737204
lgbm S+T+C - lgbm S,pr_auc,42,0.0046517505308183845,0.0018858636233638891,0.0027658869074544956
lgbm S+T+C - lgbm S,pr_auc,43,0.00193568358693113,0.0031379678132380444,-0.0012022842263069143
lgbm S+T+C - lgbm S,pr_auc,44,0.007519482290374972,0.005169660356622632,0.0023498219337523404
lgbm S+T+C - lgbm S,pr_auc,45,0.06369488198936406,0.010499347569642898,0.05319553441972116
lgbm S+T+C - lgbm S,pr_auc,46,0.005822624525469057,0.0008747932687847447,0.0049478312566843125
lgbm S+T+C - lgbm S,pr_auc,47,0.006542083571510412,0.004448550019946667,0.002093533551563745
lgbm S+T+C - lgbm S,pr_auc,48,0.01659861783989695,0.02005385140899886,-0.00345523356910191
lgbm S+T+C - lgbm S,pr_auc,49,0.003157374494837841,0.006871723001412601,-0.0037143485065747597
lgbm S+T+C - lgbm S,p@50,25,0.02,0.02,0.0
lgbm S+T+C - lgbm S,p@50,26,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@50,27,0.06,0.0,0.06
lgbm S+T+C - lgbm S,p@50,28,0.06,0.06,0.0
lgbm S+T+C - lgbm S,p@50,29,0.04,0.08,-0.04
lgbm S+T+C - lgbm S,p@50,30,0.0,0.04,-0.04
lgbm S+T+C - lgbm S,p@50,31,0.04,0.06,-0.019999999999999997
lgbm S+T+C - lgbm S,p@50,32,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@50,33,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@50,34,0.04,0.02,0.02
lgbm S+T+C - lgbm S,p@50,35,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@50,36,0.04,0.0,0.04
lgbm S+T+C - lgbm S,p@50,37,0.02,0.0,0.02
lgbm S+T+C - lgbm S,p@50,38,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@50,39,0.02,0.02,0.0
lgbm S+T+C - lgbm S,p@50,40,0.02,0.0,0.02
lgbm S+T+C - lgbm S,p@50,41,0.02,0.0,0.02
lgbm S+T+C - lgbm S,p@50,42,0.02,0.0,0.02
lgbm S+T+C - lgbm S,p@50,43,0.0,0.02,-0.02
lgbm S+T+C - lgbm S,p@50,44,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@50,45,0.08,0.02,0.06
lgbm S+T+C - lgbm S,p@50,46,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@50,47,0.0,0.02,-0.02
lgbm S+T+C - lgbm S,p@50,48,0.04,0.06,-0.019999999999999997
lgbm S+T+C - lgbm S,p@50,49,0.0,0.0,0.0
lgbm S+T+C - lgbm S,p@100,25,0.01,0.01,0.0
lgbm S+T+C - lgbm S,p@100,26,0.01,0.0,0.01
