fold_k,model,feature_set,n_train_pairs,n_train_pos,n_test_pairs,n_test_pos,fit_seconds,roc_auc,pr_auc,p@50,p@100
44,lgbm,S,4668485,469,114482,41,0.9995119571685791,0.8696456859973218,0.005169660356622632,0.0,0.01
44,lgbm,S+T,4668485,469,114482,41,1.4129040241241455,0.862750877489114,0.005078741352263326,0.0,0.0
44,lgbm,S+T+C,4668485,469,114482,41,1.3697760105133057,0.9138167052103321,0.007519482290374972,0.0,0.02
45,recency_only,heuristic,4788046,483,110818,21,0.07822895050048828,0.9137663603578745,0.06316119420688762,0.04,0.03
45,victim_risk_only,heuristic,4788046,483,110818,21,0.048185110092163086,0.885920712138931,0.0014108417558453378,0.0,0.0
45,issuer_risk_only,heuristic,4788046,483,110818,21,0.04896688461303711,0.7293684245361638,0.0006495152103245175,0.0,0.0
45,structural_heuristic,heuristic,4788046,483,110818,21,0.060838937759399414,0.9089596288708178,0.020064042104357933,0.04,0.02
45,lgbm,S,4788046,483,110818,21,1.0608179569244385,0.9229676581409931,0.010499347569642898,0.02,0.01
45,lgbm,S+T,4788046,483,110818,21,1.256195068359375,0.9175024938357881,0.10223138546698855,0.08,0.04
45,lgbm,S+T+C,4788046,483,110818,21,1.4162821769714355,0.9503484923306759,0.06369488198936406,0.08,0.04
46,recency_only,heuristic,4902528,524,98937,9,0.07134509086608887,0.8858496414901073,0.002736443763732457,0.0,0.0
46,victim_risk_only,heuristic,4902528,524,98937,9,0.04247021675109863,0.646065264075332,0.00040163276840123237,0.0,0.0
46,issuer_risk_only,heuristic,4902528,524,98937,9,0.04209494590759277,0.8573839335453842,0.0007581620157142757,0.0,0.0
46,structural_heuristic,heuristic,4902528,524,98937,9,0.05543661117553711,0.6679526748971193,0.0009711328411225913,0.0,0.0
46,lgbm,S,4902528,524,98937,9,1.106355905532837,0.8835337035239996,0.0008747932687847447,0.0,0.0
46,lgbm,S+T,4902528,524,98937,9,1.2718498706817627,0.8993723830574873,0.003853694325562225,0.0,0.0
46,lgbm,S+T+C,4902528,524,98937,9,1.349729061126709,0.8111915287436879,0.005822624525469057,0.0,0.02
47,recency_only,heuristic,5013346,545,85711,7,0.06354618072509766,0.9603360736621728,0.001699561579541043,0.0,0.0
47,victim_risk_only,heuristic,5013346,545,85711,7,0.03663206100463867,0.7574558947073649,0.0006138813105470121,0.0,0.0
47,issuer_risk_only,heuristic,5013346,545,85711,7,0.038687944412231445,0.8061834086757078,0.0005268285192120905,0.0,0.0
47,structural_heuristic,heuristic,5013346,545,85711,7,0.047986745834350586,0.7222983424677628,0.0008788674695596329,0.0,0.0
47,lgbm,S,5013346,545,85711,7,1.0564699172973633,0.9391160272566041,0.004448550019946667,0.02,0.01
47,lgbm,S+T,5013346,545,85711,7,1.3662261962890625,0.9735151551519515,0.012686233993087477,0.02,0.01
47,lgbm,S+T+C,5013346,545,85711,7,1.1941702365875244,0.9768405541998373,0.006542083571510412,0.0,0.01
48,recency_only,heuristic,5112283,554,78040,23,0.05967998504638672,0.9563199993758328,0.026398309779495664,0.06,0.04
48,victim_risk_only,heuristic,5112283,554,78040,23,0.033503055572509766,0.8154376610225977,0.002241346554202441,0.0,0.0
48,issuer_risk_only,heuristic,5112283,554,78040,23,0.034316062927246094,0.8053868972815847,0.001630583580667749,0.0,0.0
48,structural_heuristic,heuristic,5112283,554,78040,23,0.04415011405944824,0.8382768861413148,0.00738744078419148,0.02,0.01
48,lgbm,S,5112283,554,78040,23,1.0824010372161865,0.8564382010386811,0.02005385140899886,0.06,0.03
48,lgbm,S+T,5112283,554,78040,23,1.160933017730713,0.9477204243668186,0.06704755665899434,0.04,0.03
